tbegin  tEnd    Tier    Content
0   2.0 AudioEvents1    Speech
2.8 15.0   AudioEvents1    Speech
3.000  14.300  SpeechTranscript    I've tried to be fair to you creatures. Now my patience has reached its end! Tell me or i'll...[U1][Speaker:Farquad]
14.451  14.519  Keypress    N
14.573  14.690  Keypress    O
14.740  14.820  Keypress    Oemcomma
14.840  14.939  Keypress    Space
14.995  15.071  Keypress    N
15.193  15.303  Keypress    O
15.437  15.508  Keypress    Oemcomma
15.519  15.620  Keypress    Space
15.689  15.799  Keypress    N
15.902  16.050  Keypress    O
16.102  16.232  Keypress    T
16.387  16.491  Keypress    Space
16.497  16.505  Keypress    T
16.592  16.635  Keypress    H
16.640  16.740  Keypress    E
16.804  16.880  Keypress    Space
16.882  17.004  Keypress    B
16.885  17.006  Keypress    U
16.887  17.012  Keypress    T
16.891  17.019  Keypress    T
16.895  17.023  Keypress    O
16.896  17.026  Keypress    N
16.905  17.029  Keypress    S
18.463  18.570  Keypress    Oemperiod
18.590  18.602  Keypress    Space
18.595  18.604  Keypress    Space
18.609  18.718  Keypress    N
18.902  19.030  Keypress    O
19.180  19.290  Keypress    T
19.304  19.379  Keypress    Space
19.384  19.498  Keypress    M
19.509  19.611  Keypress    Y
19.680  19.698  Keypress    Space
19.703  19.832  Keypress    G
19.705  19.883  Keypress    U
19.709  19.885  Keypress    M
19.712  19.887  Keypress    D
19.715  19.890  Keypress    R
19.719  19.893  Keypress    O
19.720  19.899  Keypress    P
19.999  20.099  Keypress    Space
20.204  20.304  Keypress    B
20.390  20.490  Keypress    U
20.505  20.604  Keypress    T
20.507  20.608  Keypress    T
20.509  20.610  Keypress    O
20.510  20.612  Keypress    N
20.514  20.615  Keypress    S
21.030  21.130  Keypress    LControlKey
21.290  21.390  Keypress    W
21.5  25.5  AudioEvents1    Speech
21.538  25.202  SpeechTranscript    No, No not the buttons. Not my gumdrop Buttons [U2][Speaker:Gingy]

